cluster_id;article_topic;intent;keyword;frequency
"1";"Автоматизация бизнеса: что это, зачем нужна и с чего начать";"информационный верх воронки";"автоматизация бизнеса";"12 236"
"2";"Автоматизация бизнес-процессов: этапы, моделирование, анализ и оптимизация";"методология и проектирование";"автоматизация бизнес процессов";"6 461"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"системы автоматизации бизнеса";"1 701"
"5";"Автоматизация малого и среднего бизнеса: продажи, учет, производство, торговля и услуги";"прикладные сценарии по типам бизнеса";"автоматизация управления бизнесом";"1 218"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"система автоматизации бизнес процессов";"1 118"
"4";"Внедрение автоматизации бизнеса под ключ: как выбрать подрядчика и не потерять деньги";"коммерческий выбор подрядчика";"компания автоматизация бизнеса";"1 093"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"автоматизация бизнес технологий";"1 026"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"бизнес автоматизации управления процесса";"864"
"1";"Автоматизация бизнеса: что это, зачем нужна и с чего начать";"информационный верх воронки";"автоматизация бизнес решений";"758"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"автоматизация информационного бизнеса";"757"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"технологии автоматизации бизнес процессов";"743"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"автоматизации бизнес процессов компании";"735"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"задачи автоматизации бизнеса";"689"
"4";"Внедрение автоматизации бизнеса под ключ: как выбрать подрядчика и не потерять деньги";"коммерческий выбор подрядчика";"автоматизация бизнес процессов внедрение";"672"
"2";"Автоматизация бизнес-процессов: этапы, моделирование, анализ и оптимизация";"методология и проектирование";"автоматизация бизнес анализа";"652"
"5";"Автоматизация малого и среднего бизнеса: продажи, учет, производство, торговля и услуги";"прикладные сценарии по типам бизнеса";"автоматизации бизнес процессов предприятия";"597"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"автоматизация бизнеса работа";"579"
"4";"Внедрение автоматизации бизнеса под ключ: как выбрать подрядчика и не потерять деньги";"коммерческий выбор подрядчика";"ооо автоматизация бизнеса";"554"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"автоматизация бизнеса 1с";"546"
"2";"Автоматизация бизнес-процессов: этапы, моделирование, анализ и оптимизация";"методология и проектирование";"автоматизация бизнес процессов решения";"529"
"2";"Автоматизация бизнес-процессов: этапы, моделирование, анализ и оптимизация";"методология и проектирование";"оптимизация автоматизация бизнеса";"517"
"5";"Автоматизация малого и среднего бизнеса: продажи, учет, производство, торговля и услуги";"прикладные сценарии по типам бизнеса";"автоматизация организации бизнеса";"514"
"5";"Автоматизация малого и среднего бизнеса: продажи, учет, производство, торговля и услуги";"прикладные сценарии по типам бизнеса";"автоматизация малого бизнеса";"507"
"3";"Системы и инструменты автоматизации бизнеса: CRM, ERP, 1C, RPA и ИИ";"выбор решений и технологий";"анализ автоматизации бизнес процессов";"502"
"4";"Внедрение автоматизации бизнеса под ключ: как выбрать подрядчика и не потерять деньги";"коммерческий выбор подрядчика";"автоматизация бизнеса разработка";"492"
"2";"Автоматизация бизнес-процессов: этапы, моделирование, анализ и оптимизация";"методология и проектирование";"оптимизация бизнес процессов автоматизация";"488"
"5";"Автоматизация малого и среднего бизнеса: продажи, учет, производство, торговля и услуги";"прикладные сценарии по типам бизнеса";"автоматизация учета бизнеса";"466"
